,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
121,St. Vincent and the Grenadines,1332.746326,1413.213298,1456.507599,1448.559309,1419.589456,1386.503221,1389.92892,1408.009433,1443.080329,1446.640296,1458.545951,1470.740223,1481.316404,...,...
122,Sudan,20344.3,21673.07,22916,23797.52,23581.97286,23912.77988,23342.72391,19154.62553,19868.49583,20821.04823,21090.34845,21721.88149,22029.18625,...,...
123,Suriname,7251.288,7669.47,8060.53,8394.991,8648.293,9094.81,9626.583,9886.206,10175.9628,10201.8098,9936.66207,9425.992345,9605.086199,...,...
124,Syrian Arab Republic,1156714,1215082,1284035,1341515,1420832,1469703,...,...,...,...,...,...,...,...,...
125,Tajikistan,116.5904086,124.7517372,134.4822566,145.1063549,150.7655027,160.5652604,172.4470897,185.3806214,199.0987874,212.4384061,225.2,240.7,257.8,276.6341536,...
126,Tanzania,51171980.7,53556887.19,58090146.49,61323789.86,64624448.52,68733843.58,74166915.45,77979846.68,83268117.23,88874110.99,94349315.55,100828392.7,107657404.9,115140194.2,...
127,Togo,1256277,1289570,1274416,1326186,1399629,1484996,1580009,1683397,1786292,1892051,2000709,2102745.159,2195265.946,...,...
128,Tonga,723.25,705.3,693.0854616,705.5452164,728.6120408,752.7851269,767.5937124,759.4723065,755.0312355,775.2515298,803.412499,841.1393722,863.875874,876.5868874,...
129,Trinidad and Tobago,138052.674,157630.5368,164337.8323,169738.0289,161551.0608,167142.5714,166822.1185,163902.2155,168327.1201,166327.4255,169177.7889,158899.1801,154772.6136,...,...
130,Tunisia,50499.22,53147.47,56713.4,59116.79,60915.98,63054.81,61845.65,64318.01,66167.5,68133.7,68919.5,69683.4,71046,...,...
131,Turkmenistan,34983.12472,38819.75736,43112.1262,49470,52504,57313.21366,65749.64177,73015.52369,80435.97818,88758.00906,94485.16317,100343.2433,106835.0858,...,...
132,Tuvalu,28.38852845,29.20918652,31.06303917,33.53535583,32.06583958,31.07485663,33.52666954,32.24074591,33.71628932,34.17075923,37.29496165,38.42684547,39.67248591,...,...
133,Uganda,53973484.19,57778270.14,62437428.28,68948400.57,74511733.52,80224000,85430500,88600000,92463000,97223000,102064000,106482500,111857500,118945500,...
134,United Arab Emirates,944528.364,1037386.29,1070907.07,1105333.255,1047539.818,1064244.42,1137999.332,1189033.745,1249119.566,1304065.352,1370111.917,1411056.802,1422345.257,...,...
,US,,,,,,,,,,,,,19519423,,
135,Uruguay,425018.4481,442438.158,471380.2981,505207.2302,526645.6696,567741.9887,597049.5854,618174.2667,646842.3372,667792.21,670267.9913,681594.1675,699256.5809,710585.1222,...
136,Uzbekistan,95863786.9,103053570.9,112843660.2,122999589.6,132962556.3,144231088.2,156175302.1,168950053.6,182510067.6,195613175.3,210183364.6,222992622.5,232941723.1,244898590,...
137,Vanuatu,44819,48613,51128,54425,56228,57144,57843,58858,60017,61400,62385,63632,66304.544,...,...
138,Venezuela,46523.649,51116.533,55591.059,58525.074,56650.924,55807.51,58138.269,61409.103,62233.885,59810.257,56089.239,46859.923,...,...,...
139,Vietnam,1588645953,1699501269,1820667101,1923749392,2027590911,2157828497,2292483366,2412778384,2543596183,2695795691,2875856192,3054470219,3262547629,3.49E+12,...
140,West Bank and Gaza,...,...,...,...,...,...,11298.87268,12008.92055,12275.20902,12252.8815,12673,13269.7,13686.4,...,...
141,Yemen,315466.423,325468,336333.5147,348601.5133,362079.2479,389967.7033,340383.7119,348529.0608,365340.4265,364651.0648,303832.8714,262446.4031,246850.9993,...,...
142,Zambia,64043.73163,69105.55246,74877.5497,80698.4524,88139.13089,97215.91537,102625.5945,110422.6697,116007.2862,121456.9943,125003.5145,129699.9381,134104.7841,...,...
143,Zimbabwe,9993.444861,9638.068055,9310.304387,7790.597415,10735,12847,14670,17115,17455,17870,18188,18326,19188,...,...
